ReviewTitle,ReviewBody,Aspects,Sentiment,GeneratedResponse
Stops working very quickly,"One thing I will say, it’s easy to install. However, I literally just got my lights and it has been no more than two months and they are broken already. They stopped working. The lights are a nice touch in your car but do not plan to have this long term.",['1. Ease of installation'],['1.'],Thank you for your feedback!
Nice but super deep,"I must not have noticed that this is a DEEP pan meaning the pan portion is more like a bowl. There are good an bad points to that....for one, you can fit way more stuff in here to sautee without flipping stuff out of the pan. However, it also makes it harder to flip things like eggs or pancakes.",{},[],Thank you for your feedback!
Awesome,These things are well worth the money. Got them for my teenage daughters room and they exceeded my expectations. Will definitely order again if needed.,"['* Quality: The reviewer mentions that the products are ""well worth the money"", indicating that they are satisfied with the quality.']","['* Positive: The reviewer uses words like ""Awesome"", ""exceeded my expectations"", and ""will definitely order again if needed"" to convey a very positive sentiment.']",Thank you for your positive feedback!
works as advertised,"heat shield attached, rated for 100a",['* Works as advertised'],"['* Neutral: The review mentions that the product ""works as advertised"", which implies a sense of reliability and competence, but the tone is still neutral and factual.']",Thank you for your feedback!
Great holster!,"I like the extra protection a holster provides when I'm out and about, but I also really like my silicon magsafe case. This holster gives me both. It looks nice and appears to be well made and sturdy.",['1. Protection'],"['1. Positive: ""Great holster!"" (enthusiastic and satisfied tone)']",Thank you for your positive feedback!
Buy them. Stop thinking about it and buy them.,"I have never recommended a product more than this loofa, I’ve sent the product link to at least a dozen people. I bought them mid-January and my love for it has only grown. I feel like a freaking dolphin. My skin is amazing, I didn’t even know it could be this soft. It’s like I did a full body sugar scrub but without the effort or cost. Buy them. Buy them now.",['1. Effective exfoliation'],['1.'],Thank you for your feedback!
amazing product,amazing product that i ordered more lights to do my bedroom,{},[],Thank you for your feedback!
Cereal wasn't put in a box,"My package was not a box....took forever to get here and when it did oh my goodness so messed up...was in a yellow millia folder ,torn , cereal box torn and mashed.....cereal bag got a hole somewhere, somehow, ..it was a mess",['1. Package delivery time'],['1.'],Thank you for your feedback!
Great watch,"Keeps really good time (It's a Casio).  Looks beautiful. Perfect size.  It is easy to read in daylight.  At night it is tougher for me to read, as my eyes are old. But it is now the watch I wear the most and it was a great bargain.",{},[],Thank you for your feedback!
This is the VERY best tuxedo!!!!!! Look no further....,"This is the VERY best tuxedo choice for any man that wants to look and feel great when attending any formal event.  I was initially concerned about the quality since the price was so affordable. However, I’m really impressed with the quality and design of the tuxedo. It looks exactly as shown in the pictures and the quality is very superb.  The fabric feels just as nice at the ones you rent but you get to keep yours and wear it over and over again!  The pants are unhemmed so you can get your local tailor to hem them to meet your preferred length.  Overall, I give this a thousand stars because the tux is very well made, the price is super affordable and the customer service is superb.  They respond to your questions very quickly and help you find the right size based on your body measurements.  I love them so much that I ordered eight of them for my groom and all his groomsmen for our upcoming wedding.  I highly recommend this tuxedo.  Father’s day is coming up and this is an excellent option for a father’s day gift.  You can use it for weddings, funerals, Prom, Formal dinners, Cruises and just about any occasion.",['1. Quality of the tuxedo'],"['1. Extremely positive (VERY best tuxedo!!, a thousand stars, ""I love them so much"")']",Thank you for your feedback!
Didn't work for me,"Boxes wouldn't stay in tact, kept falling apart and I still had problems.  A waste.","['1. Boxes (specifically, their ability to stay in tact)']","['1. Negative: ""Didn\'t work for me"", ""waste""']",We apologize for your experience. We'll work to address these issues.
Perfect match with my living room rugs.,Love the design.they look great with the large rug and runner I have.,['1. Design'],"['1. Positivity (expressed through ""Love"" and ""great"")']",Thank you for your feedback!
Too big i returned it,Nice but too big,['1. Size'],"['1. Negativity (related to return): The reviewer returns the product, indicating they are not satisfied with the size.']",Thank you for your feedback!
Factory mistake.,Look at the assembly mistake on the top row. I can only use 3/4. I really needed that 4th one. Not happy.,['1. Assembly quality'],['1.'],Thank you for your feedback!
Do not buy leaks!!,Leaks! We used it for the first time since we bought it and no matter what we do we can’t tighten it enough. Its on tight but it still shoots out water!!!,['1. Leaks (emphasis on the negative experience with leaks)'],['1.'],Thank you for your feedback!
Way overpriced,Way overpriced.,['* The price of the product/service'],"['* Negative (expressed through the words ""way overpriced"")']",We apologize for your experience. We'll work to address these issues.
Es más barato en otros lados.,Motiva mucho a los niños a usarlo,['1. Price'],"['1. Negative sentiment towards the price (indicated by ""Es más barato en otros lados"", which means ""It\'s cheaper elsewhere"")']",We apologize for your experience. We'll work to address these issues.
The RIGHT tool to buy.,Guide pin size selection is excellent.  Functioned perfectly as designed and advertised,['1. Tool performance'],"['1. POSITIVE: The use of ""RIGHT"" and ""excellent"" indicates a strongly positive sentiment.']",Thank you for your feedback!
Easy to use,They are easy to work with. And product turns out great.,['1. Ease of use'],"['1. Positive: The review is overall positive, with all aspects receiving a positive sentiment.']",Thank you for your positive feedback!
WORKS WELL!!,Product works well and it is easy to use!!,['+ Product functionality (works well)'],"['+ Positive (WORKS WELL!!, easy to use!!)']",Thank you for your positive feedback!
Perfect,So adorable.,{},[],Thank you for your feedback!
Not what I ordered,I ordered 24 pieces and only received 4,['* Order accuracy'],['* Negative (frown)'],We apologize for your experience. We'll work to address these issues.
